,magnitude,min_diameter,max_diameter,speed,miss_distance,target
525498 (2005 GE60),22.12,100.1278697699,223.8927232478,4.6587341508,18777142.40801195,0.0
(2003 YS17),21.6,127.2198785394,284.4722965033,12.605578752,33120825.04181325,1.0
2101 Adonis (1936 CA),18.72,479.2421155205,1071.6179479846,35.7695909849,34234947.63545503,1.0
2102 Tantalus (1975 YA),16.0,1677.0846216284,3750.0752179805,28.2218163042,44897683.03063963,1.0
(2005 YR3),23.72,47.924211552,107.1617947985,13.5172260381,37989874.35648956,0.0
(2009 ST19),18.39,557.8982210671,1247.4983468323,23.5383690033,42695418.67508336,1.0
614470 Flordeneu (2009 ST19),18.39,557.8982210671,1247.4983468323,23.5383624392,42695395.891615294,1.0
162210 (1999 SM5),19.3,366.9061375314,820.4270648822,16.349811363,28360621.156929497,1.0
382503 (2001 RE8),19.22,380.6755436269,851.2163929215,7.4819843939,15718558.895967107,0.0
(2008 LW16),19.95,271.9912773482,608.1909854376,16.9083578215,41356800.59658104,1.0
(2017 QM18),18.6,506.4714588346,1132.5046106177,18.3769955179,26207475.383614484,0.0
620102 (2017 QM18),18.62,501.8281005898,1122.1217459384,18.3769914015,26207468.43981577,0.0
65733 (1993 PC),18.43,547.7154309472,1224.7289359235,17.1001796502,11182251.841962095,0.0
425450 (2010 EV45),19.61,318.0936332215,711.2789870931,8.2315170791,30530009.50723244,0.0
(2004 UT1),26.69,12.2054831812,27.2922900914,6.6472940586,5561069.976435602,0.0
(2008 CL20),25.3,23.150212221,51.7654482198,14.8885861322,44155213.94228727,0.0
138911 (2001 AE2),19.44,343.9972546574,769.2012454873,2.1369987801,24034927.549125828,0.0
144411 (2004 EW9),16.55,1301.8321018813,2910.9850750981,11.7112864112,8404405.117062652,0.0
513170 (2004 KH15),20.18,244.655496172,547.0663205095,16.9992181306,9895289.100351203,0.0
163348 (2002 NN4),20.08,256.1857544793,572.8487618827,11.1461947205,3164968.1506718923,1.0
471926 Jormungandr (2013 KN6),18.62,501.8281005898,1122.1217459384,45.3571636968,41825834.762260914,1.0
(2007 YS56),25.7,19.2555078188,43.0566244241,6.2240467612,19644743.777995184,0.0
325395 (2009 CQ5),17.44,864.0820364505,1932.1461716397,14.4806757976,26827844.510979086,1.0
