,magnitude,min_diameter,max_diameter,speed,miss_distance,target
(2006 FH36),23.03,65.8498782919,147.2448041708,5.0607769417,2685616.3831917886,0.0
(2008 BX2),23.6,50.6471458835,113.2504610618,13.9869155446,13493031.9316582,0.0
612197 (2000 WP19),22.93,68.9532874451,154.1842379994,6.3802864254,24208556.17612818,0.0
613400 (2006 FH36),23.03,65.8498782919,147.2448041708,5.0607769421,2685616.3831917886,0.0
234145 (2000 EW70),21.58,128.3970295822,287.1044862548,13.9834888866,11636000.457154715,1.0
(2000 BO28),19.7,305.1792325939,682.4015094011,17.7740449792,6823147.686542681,1.0
(2005 FC),24.5,33.4622374455,74.8238376074,15.5532569067,18696969.521925427,0.0
612143 (2000 BO28),19.84,286.1244537828,639.7937286834,17.7740465637,6823146.8499404285,1.0
443837 (2000 TJ1),19.7,305.1792325939,682.4015094011,23.4417507389,35471064.88974752,0.0
477524 (2010 EH43),18.67,490.4050984179,1096.5791365749,20.0187702435,42965198.88221808,0.0
(2009 EG3),21.31,145.3968429372,325.1172245215,13.120072269,46204527.49467871,0.0
(2002 TB70),21.6,127.2198785394,284.4722965033,10.1720929439,13706053.80701952,1.0
(2016 WJ1),21.3,146.0679642714,326.6178974458,14.5064117888,30426610.42318249,1.0
620100 (2016 WJ1),21.35,142.7430514752,319.1831664143,14.5064119801,30426610.72064108,1.0
4581 Asclepius (1989 FC),20.74,189.0405519291,422.7075246174,12.7710714096,6551022.260196056,1.0
277810 (2006 FV35),21.72,120.3801767384,269.1782583305,10.1470511295,34281256.32170578,0.0
325102 (2008 EY5),20.17,245.7847746328,549.5914639134,21.3241951174,22418801.41044372,0.0
(2009 BJ2),27.1,10.1054341542,22.5964377109,7.8511665401,25921414.20874395,0.0
(2004 RY10),21.4,139.4938229344,311.9176705226,22.1336724136,9623763.759505792,1.0
(2009 BF2),25.9,17.561231848,39.2681081809,5.1245329745,21897925.13177141,0.0
(2009 FO32),25.7,19.2555078188,43.0566244241,22.6816933097,21501339.04808344,0.0
482244 (2011 HR),19.86,283.501249023,633.9280645215,5.5965524611,45821098.30140732,0.0
(2008 UB95),24.8,29.1443904535,65.1688382168,7.6330889278,4393457.423637287,0.0
339714 (2005 ST1),20.36,225.1930466786,503.5469604336,10.7991563128,34437726.5246416,0.0
394392 (2007 EP88),18.37,563.0603897491,1259.0413069164,21.9949382488,46258171.75117763,0.0
494880 (2008 SQ7),19.84,286.1244537828,639.7937286834,8.8134119129,23751129.820244648,0.0
(2003 OC3),18.83,455.5698523357,1018.6851583223,12.5512716182,5382441.535495928,1.0
(2005 GR33),22.14,99.2098919421,221.8400624229,19.4119844669,46169402.23778758,0.0
138127 (2000 EE14),17.11,1005.900390178,2249.2616510316,24.4736392207,43040415.5041624,1.0
142555 (2002 TB58),16.39,1401.3769716619,3133.5741707387,10.6160178916,42137434.020354725,0.0
480936 (2003 QH5),20.26,235.8060679997,527.2783975542,8.1352935411,30708286.24988012,1.0
528807 (2009 BL71),22.07,102.4601474676,229.1078547221,21.2582228069,38652171.10719465,0.0
(2002 FT5),21.57,128.9896833431,288.4297003513,19.2496422921,27581710.9664786,0.0
487580 (2015 BA92),20.13,250.3542547558,559.8091320902,23.2898639647,29425721.75870801,0.0
(2007 SW2),21.46,135.6922289935,303.4170480479,21.1875825078,45963706.5069557,0.0
373428 (1999 TC5),18.64,497.2273129092,1111.8340719346,17.5399867528,19433671.557708908,0.0
(2004 FY31),21.97,107.2889454508,239.9053752622,17.3836985523,22837889.315385696,1.0
276732 (2004 EV9),17.74,752.5839924835,1682.8289659712,34.0472447518,13509783.701960232,0.0
465633 (2009 JR5),20.44,217.0475943071,485.3331752235,19.9957102509,33158107.57057212,1.0
(2004 RE84),21.9,110.8038821264,247.7650126055,14.0647765237,9412490.866225524,1.0
432509 (2010 FF7),19.49,336.1669211578,751.6920874957,18.3211656313,44647275.42698362,0.0
448818 (2011 UU20),17.81,728.7104148984,1629.446023625,15.6335159356,31051002.20375617,0.0
(2005 EY169),22.29,92.5880583366,207.0331923453,15.6244126872,21294892.6526402,0.0
396730 (2003 KX16),18.53,523.0641758041,1169.6070536928,19.1363700866,44422901.91873171,0.0
(2001 QC34),20.2,242.4124811008,542.0507863358,4.0894680577,10220421.599033369,1.0
612227 (2001 QC34),20.2,242.4124811008,542.0507863358,4.0894675384,10220421.413121756,1.0
531060 (2012 DJ61),19.89,279.6114660622,625.2302454035,30.3774176276,7576092.29931409,1.0
(2004 ST2),24.2,38.4197891064,85.9092601232,14.0627574794,15602234.260614963,0.0
(2006 GX2),20.6,201.6299194428,450.8582061718,11.6145090897,12227575.714895308,0.0
(2009 DR36),20.7,192.5550781879,430.566244241,16.1332902783,20168895.735610697,0.0
625646 (2006 GX2),20.71,191.6703679668,428.5879720462,11.6145090612,12227575.705599727,0.0
500094 (2012 BC20),18.69,485.9090374507,1086.5256386213,12.6502826217,30613438.8954794,0.0
(2001 BB16),23.2,60.8912622106,136.1570015386,6.4798211228,8471282.710833028,0.0
(2006 FJ),20.42,219.0559109705,489.8239078031,16.3334711285,27241892.62169159,0.0
(2013 CL89),19.47,339.2774353821,758.6474087461,14.3994961602,39065886.28739239,0.0
651565 (2013 CL89),19.47,339.2774353821,758.6474087461,14.3994960609,39065886.2780968,0.0
276770 (2004 HC),19.96,270.7415909448,605.396601689,17.4256976654,35472711.95508288,0.0
364136 (2006 CJ),20.19,243.5314062744,544.5527790857,28.3950697779,25014111.73936344,1.0
(2003 YS70),29.1,4.0230457983,8.9958038817,15.5502772142,36648208.024718985,0.0
96315 (1997 AP10),17.05,1034.0819953948,2312.2776360114,32.0169163427,35249983.578685544,0.0
457059 (2008 EG),20.06,258.5562120799,578.1492662155,32.6693000661,32461331.28048228,0.0
539856 (2017 EV2),20.92,174.0022950671,389.080960011,13.5850732834,29226291.918482337,0.0
(2009 DB1),23.01,66.4591797139,148.6072435691,9.2344594162,44086233.669594005,0.0
(2000 UK11),25.3,23.150212221,51.7654482198,10.7391794776,30380982.861304622,0.0
(2007 CH15),21.75,118.7284987937,265.4849941693,13.8690538134,32726108.70838948,0.0
152561 (1991 RB),19.1,402.3045798343,899.5803881691,11.2265650874,38907176.314311005,1.0
462550 (2009 CB3),19.63,315.1773332628,704.7579421428,17.192324812,44119140.1271694,1.0
415713 (1998 XX2),20.0,265.8,594.3468684194,10.9320735648,39375136.97056971,1.0
326386 (2001 OA14),18.58,511.1577815443,1142.9835467611,21.9676308622,28988511.27348849,0.0
(1995 CR),21.76,118.1829908933,264.2652014216,23.399888972,23647308.80979128,1.0
(2006 BA9),22.7,76.6575573531,171.4115092306,9.4387537125,24823521.150390524,0.0
10115 (1992 SK),17.13,996.6782399685,2228.6402962644,22.579111683,38183964.21100586,1.0
(2007 OX),21.3,146.0679642714,326.6178974458,19.4846328382,43882831.641866334,0.0
(2006 KY86),19.7,305.1792325939,682.4015094011,12.3086813218,16660708.256782096,1.0
(2007 DE8),23.59,50.8809224871,113.773201439,12.7381516785,9595536.780864673,0.0
(2009 YF),24.7,30.5179232594,68.2401509401,6.6269198362,9078599.513767203,0.0
619920 (2006 KY86),19.74,299.6090838515,669.9462781683,12.3086814799,16660706.899627328,1.0
(2024 CO),23.731,47.6820563459,106.6203192964,12.6207397361,9198370.745903056,0.0
481543 (2007 RN7),21.7,121.4940407996,271.6689340891,7.4598234941,38006112.518076696,0.0
511523 (2014 QS439),19.4,350.3926411083,783.5017643338,3.7564921189,42303597.44094186,0.0
(2001 GP2),26.4,13.9493822934,31.1917670523,2.74674729,10841130.070863357,0.0
(2004 MD),20.2,242.4124811008,542.0507863358,12.369571201,15487617.325670429,1.0
(2009 TK8),20.17,245.7847746328,549.5914639134,16.028015374,28412566.94353235,0.0
(2020 UJ7),25.945,17.2010507266,38.4627187091,2.7459076613,10837245.698711293,0.0
612780 (2004 MD),20.16,246.9192656061,552.1282628496,12.3695705781,15487618.43184452,1.0
367943 Duende (2012 DA14),24.19,38.5971267955,86.3057992509,11.4436819241,28475638.62914651,0.0
512234 (2015 VO66),20.62,199.78136523,446.7247132921,14.5431969935,27219362.476803496,1.0
(2005 FK),23.4,55.5334911581,124.1766612574,5.8558064364,45800539.13565617,0.0
(2008 TZ),25.4,22.1082810359,49.435619262,15.3349497152,37349008.30658151,0.0
(2010 FK),23.8,46.1907460282,103.2856480504,7.2954556917,13143157.358206276,0.0
(2008 SX148),23.7,48.3676488219,108.1533506775,19.8293116593,28314614.0193134,0.0
152685 (1998 MZ),19.34,360.2093458029,805.452583346,18.9154700945,38221537.99819166,1.0
(2005 EO30),23.18,61.4546821229,137.4168467624,15.7103054421,39974324.48151504,0.0
(2009 CS1),21.12,158.691979174,354.846052917,19.3721875206,30227984.734338943,0.0
(2010 GW62),19.36,356.9069266704,798.0681496756,25.5835998066,45515713.668792695,0.0
(2017 XD),17.36,896.5096664153,2004.6565565902,27.0242734011,29037158.058536407,0.0
658883 (2017 XD),17.35,900.647767018,2013.9096308356,27.0242733937,29037158.095718727,0.0
164207 (2004 GU9),21.18,154.3671821772,345.1755128432,5.0124282694,27072578.39899101,1.0
(2003 QK5),22.85,71.5409950884,159.9705281956,10.0445096256,36672766.13994867,0.0
(2005 RZ2),23.3,58.1507039646,130.0289270043,6.9103288916,9697533.30123578,0.0
(2010 CT),20.25,236.8944993559,529.7122040557,14.9777275536,34827649.25728808,0.0
349063 (2006 XA),17.45,860.111940119,1923.2687663652,13.2279896477,23867061.103808127,0.0
(2008 CE119),25.7,19.2555078188,43.0566244241,8.4531608821,13099275.961848533,0.0
(2010 CO44),24.6,31.9561886721,71.4562101727,5.2232981798,18235134.448779352,0.0
(2005 XP66),20.1,253.8370293645,567.5968528656,12.395300582,43868211.33890031,0.0
(2008 BH16),20.5,211.1324447897,472.1064988055,16.3034109961,41078536.69415149,0.0
(2008 YX32),20.85,179.7028548592,401.8277992159,12.7853879497,18733645.9695336,0.0
326290 Akhenaten (1998 HE3),21.83,114.4339730687,255.882142717,26.8892354792,41443939.23753714,1.0
(2003 DG6),20.75,188.1719894893,420.7653599595,18.1252584338,18123123.10225932,0.0
(2004 CH52),19.8,291.4439045349,651.6883821679,6.1958463567,38958161.74659533,0.0
(2008 TT26),23.6,50.6471458835,113.2504610618,6.718989554,43128981.05392292,0.0
(2009 VZ),21.3,146.0679642714,326.6178974458,12.2040882472,28257403.10431174,1.0
612751 (2004 CH52),19.95,271.9912773482,608.1909854376,6.1958476812,38958161.00294888,0.0
420738 (2012 TS),20.84,180.5323255496,403.6825520651,12.6313456217,25875963.997248344,0.0
363067 (2000 CO101),19.21,382.4326621004,855.1454292727,13.4598062316,33637038.703734495,1.0
(2000 RE52),22.33,90.8981358201,203.2544107219,22.9961327637,42096463.26549004,0.0
(2010 EG21),24.5,33.4622374455,74.8238376074,19.0820289996,41103297.304308966,0.0
(2011 WL2),20.7,192.5550781879,430.566244241,8.4833049306,42698341.27069306,1.0
549948 (2011 WL2),20.84,180.5323255496,403.6825520651,8.4833049251,42698342.17236438,1.0
(2002 XS14),24.2,38.4197891064,85.9092601232,20.8331911663,44752323.7422392,0.0
(2005 CK),26.14,15.7237082364,35.1592804749,11.884597394,22166321.570891287,0.0
(2007 CO5),20.07,257.3682541942,575.4929116288,26.3041807028,28701367.200660385,0.0
136582 (1992 BA),19.88,280.902093949,628.116177092,7.0678019044,35379478.54586384,0.0
154590 (2003 MA3),21.71,120.9358263879,270.4207287184,26.7862954054,44072235.966025405,1.0
(2008 BP16),21.8,116.0259082094,259.4418179074,18.4274514838,27117017.18624828,0.0
511684 (2015 BN509),20.79,184.7374636151,413.0855266343,14.4181586004,13097630.876471844,1.0
(2004 XK3),24.47,33.9277435382,75.8647408746,8.2244274116,44373575.34787452,0.0
(2009 CE),24.3,36.6906137531,82.0427064882,5.756180399,7852549.624245185,0.0
35107 (1991 VH),16.91,1102.9478453221,2466.2663577772,8.7040914643,28216299.311097503,1.0
386298 (2008 SR7),20.09,255.0086878569,570.2167609011,9.7169842817,42931836.43923194,0.0
163243 (2002 FB3),16.5,1332.1556669813,2978.7906279817,16.0467790155,28826408.12532512,1.0
217430 (2005 SN25),19.64,313.7292249562,701.5198735305,15.8656608911,23586627.76159583,1.0
462559 (2009 DD1),20.57,204.4348710282,457.1302685904,14.9018150277,44177000.91480197,0.0
(2008 EE5),19.71,303.7770613871,679.2661592667,22.9830392831,13402484.703547465,1.0
96744 (1999 OW3),14.78,2941.4060178126,6577.183805256,33.9433421511,42990827.4114406,0.0
154993 (2005 EA94),17.99,670.7411893253,1499.8228946405,18.281557136,15480475.177863384,0.0
163373 (2002 PZ39),19.03,415.484643414,929.0519062809,15.189099333,3588424.9227223927,1.0
353947 (1999 CT8),18.79,464.0395282463,1037.6239294056,21.6143506827,42645876.55830321,0.0
474223 (2001 CC32),19.1,402.3045798343,899.5803881691,21.750331376,26441959.304470632,0.0
68347 (2001 KB67),19.92,275.7750529244,616.6517648376,15.5157297104,41396716.04277137,1.0
40267 (1999 GJ4),15.57,2044.3487102818,4571.3026859041,34.0221481836,17607324.09759748,0.0
137924 (2000 BD19),17.51,836.6715018881,1870.8543530587,34.5794821271,10616734.411242872,0.0
153267 (2001 CB32),17.9,699.1252322458,1563.2915440869,26.3651840151,30943763.208316173,0.0
315098 (2007 EX),16.75,1187.2849879373,2654.8499416927,17.7237128153,14156907.7784133,0.0
471956 (2013 SC25),19.28,370.3010782229,828.0183830478,20.7778174142,39809341.497412704,0.0
(2011 SB16),18.7,483.6764882185,1081.533506775,26.6078860331,45121343.23321863,0.0
621911 (2011 SB16),18.83,455.5698523357,1018.6851583223,26.6078841905,45121341.43917157,0.0
5660 (1974 MA),15.52,2091.9677090096,4677.7820040799,32.6611451714,38024284.25338445,0.0
459872 (2014 EK24),23.36,56.5659358422,126.4852777541,9.8622878679,24281308.799931686,0.0
(2005 YO3),25.1,25.3837029364,56.7596852866,17.4025528367,29360709.33248061,0.0
417210 (2005 XV77),20.56,205.3784995184,459.2402860401,18.7529851851,29118230.5709134,0.0
504074 (2006 AD),16.67,1231.8419126591,2754.482254239,29.1763907219,38269530.81125762,0.0
(2008 UW91),21.71,120.9358263879,270.4207287184,19.7081049179,43442809.91279713,1.0
162080 (1998 DG16),19.95,271.9912773482,608.1909854376,10.8551692328,20743245.95715417,0.0
234341 (2001 FZ57),18.95,431.077123878,963.9177525363,23.0572831696,33020161.6936118,0.0
340666 (2006 RO36),17.82,725.3622946704,1621.9593991982,12.9279553001,36832154.420842014,0.0
424965 (2009 AM15),18.76,470.4949611208,1052.0587161372,15.0230759412,42781097.16623881,0.0
68347 (2001 KB67),19.92,275.7750529244,616.6517648376,15.5157297104,41396716.04277137,1.0
137120 (1999 BJ8),18.3,581.5070396458,1300.2892700427,21.2150044038,25890833.02206449,1.0
162825 (2001 BO61),17.97,676.9474811371,1513.7005850198,26.7592242032,8658222.553481096,1.0
103067 (1999 XA143),16.83,1144.339730687,2558.8214271699,22.5189181574,28309817.118605,1.0
416231 (2003 AJ73),18.67,490.4050984179,1096.5791365749,3.2899982612,44856490.50181299,0.0
503960 (2004 QF1),18.45,542.6939456932,1213.5005535475,13.7043955923,23474664.575478885,0.0
512245 (2016 AU8),19.91,277.0479727327,619.4981000589,7.0442343628,17955172.857282504,0.0
(2008 OX1),21.5,133.2155666981,297.8790627982,16.9822340509,15126567.939862084,1.0
627157 (2008 OX1),21.5,133.2155666981,297.8790627982,16.9822340227,15126567.930566505,1.0
350523 (2000 EA14),21.16,155.7955241278,348.36938254,14.9123168116,30165008.384199426,1.0
525364 (2005 CL7),19.63,315.1773332628,704.7579421428,16.0409042004,17433721.87004403,0.0
250577 (2005 AC),18.36,565.6593584222,1264.852777541,27.8057111362,8224153.100719801,0.0
492143 (2013 OE),17.65,784.4314124479,1754.0419619197,15.0242078417,30020909.92046483,0.0
(2003 SS84),21.95,108.2816778403,242.1251923687,14.4539260002,9279187.722769352,1.0
(2007 EG),24.55,32.7005439282,73.1206391247,20.9402711415,36052165.004187874,0.0
(2008 CZ21),20.4,221.0828103591,494.3561926196,9.4257615066,41161178.05884866,0.0
(2010 GV147),18.27,589.5966083829,1318.3780956475,33.3630333279,36823853.31863693,0.0
598001 (2008 CZ21),20.5,211.1324447897,472.1064988055,9.4257614253,41161178.05884866,0.0
(2024 CW2),24.333,36.1372397151,80.8053245222,20.9539851982,36087915.43535225,0.0
5660 (1974 MA),15.52,2091.9677090096,4677.7820040799,32.6611451714,38024284.25338445,0.0
459872 (2014 EK24),23.36,56.5659358422,126.4852777541,9.8622878679,24281308.799931686,0.0
(2005 YO3),25.1,25.3837029364,56.7596852866,17.4025528367,29360709.33248061,0.0
417210 (2005 XV77),20.56,205.3784995184,459.2402860401,18.7529851851,29118230.5709134,0.0
504074 (2006 AD),16.67,1231.8419126591,2754.482254239,29.1763907219,38269530.81125762,0.0
(2008 UW91),21.71,120.9358263879,270.4207287184,19.7081049179,43442809.91279713,1.0
162080 (1998 DG16),19.95,271.9912773482,608.1909854376,10.8551692328,20743245.95715417,0.0
234341 (2001 FZ57),18.95,431.077123878,963.9177525363,23.0572831696,33020161.6936118,0.0
340666 (2006 RO36),17.82,725.3622946704,1621.9593991982,12.9279553001,36832154.420842014,0.0
424965 (2009 AM15),18.76,470.4949611208,1052.0587161372,15.0230759412,42781097.16623881,0.0
159454 (2000 DJ8),18.15,623.096019112,1393.285055244,19.566406171,31620696.715164967,0.0
(2004 KG1),23.96,42.9096504404,95.9488952756,17.6594595281,43386038.76241807,0.0
(2010 FO28),20.16,246.9192656061,552.1282628496,3.347597596,30899913.751573373,0.0
152828 (1999 VT25),21.28,147.4195145042,329.6400556414,13.6191200038,33720250.110616386,1.0
436037 (2009 NJ),18.69,485.9090374507,1086.5256386213,31.1073593224,37668963.39925898,0.0
(2003 LH),25.2,24.2412481101,54.2050786336,5.9888119134,21143607.524563067,0.0
190119 (2004 VA64),17.05,1034.0819953948,2312.2776360114,34.3400877947,45305159.435439765,0.0
437316 (2013 OS3),18.5,530.3407233187,1185.8779085771,17.8848921601,8989786.404104142,0.0
(2003 SK84),21.23,150.8533561176,337.3183589129,17.7378172716,30151195.922961008,1.0
137199 (1999 KX4),16.98,1067.9599752365,2388.0311018778,9.0010845941,21304088.101245973,0.0
331876 (2004 CL),20.56,205.3784995184,459.2402860401,20.7594895741,10409560.552957464,1.0
501647 (2014 SD224),22.36,89.6509666415,200.465655659,5.6354281077,20817998.246256348,0.0
(2009 SP),19.4,350.3926411083,783.5017643338,11.0018568069,45086050.06095953,0.0
531899 (2013 BE19),19.78,294.1406017813,657.7183805256,21.5865327898,20919594.65695169,1.0
(2002 DQ3),23.8,46.1907460282,103.2856480504,6.5689614541,15488336.143622644,0.0
(2002 RS129),22.89,70.2352247696,157.0507369998,12.2934495057,8135463.138908528,0.0
(2006 QV89),25.5,21.113244479,47.2106498806,2.8597030517,20216545.71836856,0.0
(2009 DO1),23.1,63.7609789875,142.5738833281,11.8805841058,25459235.27348032,0.0
(2018 NP1),20.94,172.4070324371,385.5138443284,17.6558345188,20433304.593747105,0.0
585428 (2018 NP1),20.97,170.0415192713,380.2243960879,17.6558362062,20433310.11532198,0.0
143527 (2003 EN16),18.66,492.6687055037,1101.640715893,6.8098446695,39760920.74370266,0.0
366746 (2004 LJ),20.16,246.9192656061,552.1282628496,17.0531079078,41605871.9605258,1.0
484462 (2008 CM20),21.46,135.6922289935,303.4170480479,14.3311846106,17549403.362765625,0.0
515767 (2015 JA2),21.17,155.079708716,346.7687706198,20.6532760301,25602203.82221065,1.0
438661 (2008 EP6),19.25,375.4524793607,839.5372661714,11.107565124,8589342.691649482,1.0
509505 (2007 VL8),21.23,150.8533561176,337.3183589129,25.7405770096,45415409.25084496,0.0
203015 (1999 YF3),18.64,497.2273129092,1111.8340719346,13.6704714683,34530868.88364865,0.0
416002 (2002 BN),20.47,214.0695896707,478.6741544192,17.1258177194,19163779.348123528,0.0
(2006 YU1),21.0,167.7084621628,375.0075217981,7.6664294518,29646819.318444874,0.0
(2007 AM),21.82,114.9621762891,257.0632410238,29.1775994175,46018046.72357416,0.0
85990 (1999 JV6),20.27,234.7226375313,524.8557733779,18.4882761893,26802276.81203601,1.0
162004 (1991 VE),18.3,581.5070396458,1300.2892700427,15.7027737084,22474930.74746024,0.0
248926 (2006 WZ2),17.13,996.6782399685,2228.6402962644,9.247265277,46204063.03169845,0.0
526742 (2006 WR127),20.49,212.1069878758,474.2856433931,13.0120331133,18009684.252017703,0.0
(2008 XP),21.16,155.7955241278,348.36938254,4.7737486088,34797694.5741499,0.0
(2016 WE1),19.5,334.6223744549,748.2383760735,1.3700577669,35390919.843924895,0.0
564934 (2016 WE1),19.52,331.5545380858,741.3784854083,1.3700517441,35390912.82576154,0.0
154652 (2004 EP20),18.92,437.0740040305,977.3271842103,25.0503325038,38910534.20336905,0.0
427778 (2005 BE),20.11,252.6707541538,564.9889822141,16.6658803097,24158595.79540336,0.0
(2008 CL20),25.3,23.150212221,51.7654482198,18.5324136029,36321357.32162314,0.0
(2009 BH2),22.57,81.3869880675,181.9868378029,17.9881152491,3633642.8004764817,0.0
(2006 DY),18.39,557.8982210671,1247.4983468323,16.1970134393,34052562.887577206,0.0
(2008 CC175),21.49,133.8304618158,299.2540100804,13.2936677491,41601031.1660858,0.0
(2022 CL12),23.03,65.8498782919,147.2448041708,5.737602215,46091767.03590928,0.0
613949 (2008 CC175),21.42,138.2149358786,309.0579921303,13.2936677427,41601031.1660858,0.0
416591 (2004 LC2),18.66,492.6687055037,1101.640715893,18.5987778752,19052572.617764648,1.0
506491 (2003 UW29),20.77,186.44681832,416.9077599521,37.6221532439,23499142.98110493,1.0
(2003 BM4),24.95,27.1991277348,60.8190985438,7.4607851569,35713371.62730014,0.0
(2022 CV2),22.99,67.0741189325,149.9822894641,8.9136536773,12371467.714489195,0.0
468541 (2006 QA31),20.09,255.0086878569,570.2167609011,16.0856017699,30851795.476056047,0.0
(2004 RO111),23.3,58.1507039646,130.0289270043,12.2103040325,31904408.738793008,0.0
(2008 LW16),19.95,271.9912773482,608.1909854376,16.5245482445,10553769.234391231,1.0
99942 Apophis (2004 MN4),19.09,404.1615334029,903.7326625794,19.581321395,41616852.18849352,1.0
538644 (2016 FA4),19.46,340.84346887,762.1491660801,24.1095895519,24998623.452263296,0.0
(2007 TE66),21.57,128.9896833431,288.4297003513,10.5370612492,21278265.82423701,0.0
613829 (2007 TE66),21.57,128.9896833431,288.4297003513,10.5370627008,21278270.31400244,0.0
281365 (2008 CM116),17.53,829.0008514522,1853.7022572523,30.542549211,41695803.89556546,0.0
481442 (2006 WO3),21.58,128.3970295822,287.1044862548,22.7517827178,38598084.35317242,0.0
512244 (2015 YE18),17.81,728.7104148984,1629.446023625,34.7839542158,40151799.68483872,0.0
(2009 AH16),17.83,722.0295576574,1614.5071726861,24.1143473415,31180730.22973125,0.0
(2004 BT58),22.19,96.9515990928,216.7903660989,13.2162436298,8548253.604043752,0.0
(2007 JH22),21.83,114.4339730687,255.882142717,19.4770832225,20305584.868665066,1.0
438452 (2007 AS12),19.25,375.4524793607,839.5372661714,11.1477504713,39367689.909127824,0.0
(2020 BR7),20.8,183.8886720703,411.1875710413,30.9246725424,22872346.35946539,0.0
90367 (2003 LC5),17.97,676.9474811371,1513.7005850198,14.5997986563,17431038.775068488,0.0
456946 (2008 AF32),21.26,148.7835704774,332.6901775226,15.2535630716,22578111.236636795,0.0
488490 (2000 AF205),21.9,110.8038821264,247.7650126055,5.9207250831,20876680.72603164,1.0
(2004 XG29),25.66,19.6134944368,43.8571068371,16.9179823354,35217501.055359006,0.0
(2005 RK3),23.73,47.7040198012,106.6694310755,5.6364896214,32755515.807465672,0.0
(2008 PG2),22.76,74.5684260968,166.7400697275,4.7374121374,15965171.820528263,0.0
329340 (2001 LM5),19.31,365.2203569583,816.6575449256,6.6581776669,22893554.57983636,0.0
(1996 AE2),20.23,239.0864571707,534.6135707332,19.5708048044,14674079.071047956,0.0
18172 (2000 QL7),15.7,1925.5507818793,4305.66244241,8.7595493917,34152574.764307894,0.0
86450 (2000 CK33),18.45,542.6939456932,1213.5005535475,17.8884242209,16049401.595447209,0.0
307070 (2002 AV31),20.64,197.9497586642,442.6291165029,8.3115849609,25966946.983586445,0.0
417871 (2007 MB24),18.32,576.1757510611,1288.3681463596,25.52151039,37762513.39736209,1.0
(2000 HB24),23.7,48.3676488219,108.1533506775,19.0305618158,45553010.27106059,0.0
(2004 BZ74),18.27,589.5966083829,1318.3780956475,34.0481029676,23163537.560766287,0.0
(2006 PY17),19.2,384.1978910643,859.0926012318,14.8480001139,25925675.247117504,1.0
613450 (2006 PY17),19.3,366.9061375314,820.4270648822,14.8480007071,25925676.957504336,1.0
